SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,44,000,00000,00000,00000,0,A,Rhode Island,Rhode Island,1097354,1096530,1097246,1099498,1103429,1112308
162,44,000,14140,00000,00000,0,A,Central Falls city,Rhode Island,22583,22549,22534,22661,22769,23034
162,44,000,19180,00000,00000,0,A,Cranston city,Rhode Island,82885,82772,82574,82943,83412,84448
162,44,000,22960,00000,00000,0,A,East Providence city,Rhode Island,47130,47052,46928,47105,47368,47961
162,44,000,49960,00000,00000,0,A,Newport city,Rhode Island,25169,25114,25087,25050,24631,24482
162,44,000,54640,00000,00000,0,A,Pawtucket city,Rhode Island,75611,75488,75313,75660,76097,76996
162,44,000,59000,00000,00000,0,A,Providence city,Rhode Island,190978,190803,190200,190879,192606,194706
162,44,000,74300,00000,00000,0,A,Warwick city,Rhode Island,82831,82862,83059,83141,83237,83554
162,44,000,80780,00000,00000,0,A,Woonsocket city,Rhode Island,43224,43161,43061,43300,43570,44508
050,44,001,00000,00000,00000,0,N,Bristol County,Rhode Island,50786,50783,50778,50388,50358,50145
061,44,001,00000,05140,00000,1,A,Barrington town,Rhode Island,17154,17156,17223,17124,17102,17027
061,44,001,00000,09280,00000,1,A,Bristol town,Rhode Island,22484,22482,22378,22135,22108,22023
061,44,001,00000,73760,00000,1,A,Warren town,Rhode Island,11148,11145,11177,11129,11148,11095
050,44,003,00000,00000,00000,0,N,Kent County,Rhode Island,170366,170423,171115,171523,171770,172450
157,44,003,74300,00000,00000,0,A,Warwick city,Rhode Island,82831,82862,83059,83141,83237,83554
157,44,003,99990,00000,00000,0,S,Balance of Kent County,Rhode Island,87535,87561,88056,88382,88533,88896
061,44,003,00000,18640,00000,1,A,Coventry town,Rhode Island,35704,35726,35878,35935,35924,36081
061,44,003,00000,22240,00000,1,A,East Greenwich town,Rhode Island,14305,14308,14416,14598,14666,14769
061,44,003,00000,74300,00000,0,F,Warwick city,Rhode Island,82831,82862,83059,83141,83237,83554
071,44,003,74300,74300,00000,1,A,Warwick city,Rhode Island,82831,82862,83059,83141,83237,83554
061,44,003,00000,77720,00000,1,A,West Greenwich town,Rhode Island,6528,6532,6636,6679,6696,6720
061,44,003,00000,78440,00000,1,A,West Warwick town,Rhode Island,30998,30995,31126,31170,31247,31326
050,44,005,00000,00000,00000,0,N,Newport County,Rhode Island,85641,85511,85613,84851,83843,83468
157,44,005,49960,00000,00000,0,A,Newport city,Rhode Island,25169,25114,25087,25050,24631,24482
157,44,005,99990,00000,00000,0,S,Balance of Newport County,Rhode Island,60472,60397,60526,59801,59212,58986
061,44,005,00000,36820,00000,1,A,Jamestown town,Rhode Island,5554,5552,5581,5537,5501,5494
061,44,005,00000,42400,00000,1,A,Little Compton town,Rhode Island,3616,3614,3629,3589,3564,3553
061,44,005,00000,45460,00000,1,A,Middletown town,Rhode Island,17076,17056,17062,16814,16610,16610
061,44,005,00000,49960,00000,0,F,Newport city,Rhode Island,25169,25114,25087,25050,24631,24482
071,44,005,49960,49960,00000,1,A,Newport city,Rhode Island,25169,25114,25087,25050,24631,24482
061,44,005,00000,57880,00000,1,A,Portsmouth town,Rhode Island,17867,17839,17870,17661,17479,17391
061,44,005,00000,70880,00000,1,A,Tiverton town,Rhode Island,16359,16336,16384,16200,16058,15938
