SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,30,000,00000,00000,00000,0,A,Montana,Montana,1084216,1087230,1106522,1122095,1131302,1137233
162,30,000,00700,00000,00000,0,A,Alberton town,Montana,448,451,503,521,531,545
162,30,000,01675,00000,00000,0,A,Anaconda-Deer Lodge County,Montana,9425,9423,9522,9541,9685,9811
162,30,000,03400,00000,00000,0,A,Bainville town,Montana,275,275,275,267,265,261
162,30,000,03475,00000,00000,0,A,Baker city,Montana,1798,1792,1806,1829,1800,1767
162,30,000,04300,00000,00000,0,A,Bearcreek town,Montana,89,89,94,98,101,101
162,30,000,04975,00000,00000,0,A,Belgrade city,Montana,10476,10693,11559,11947,12457,12741
162,30,000,05275,00000,00000,0,A,Belt town,Montana,502,503,506,514,513,515
162,30,000,06250,00000,00000,0,A,Big Sandy town,Montana,624,623,623,616,607,604
162,30,000,06475,00000,00000,0,A,Big Timber city,Montana,1640,1638,1653,1664,1677,1681
162,30,000,06550,00000,00000,0,A,Billings city,Montana,117159,117233,117763,119952,120797,121483
162,30,000,08575,00000,00000,0,A,Boulder city,Montana,1200,1205,1234,1271,1288,1305
162,30,000,08950,00000,00000,0,A,Bozeman city,Montana,53563,53865,55409,56293,57106,57894
162,30,000,09475,00000,00000,0,A,Bridger town,Montana,662,664,687,705,713,716
162,30,000,09700,00000,00000,0,A,Broadus town,Montana,457,457,460,464,465,466
162,30,000,09775,00000,00000,0,A,Broadview town,Montana,139,139,138,138,137,137
162,30,000,11397,00000,00000,0,F,Butte-Silver Bow (balance),Montana,34494,34573,34867,35225,35538,35480
162,30,000,12775,00000,00000,0,A,Cascade town,Montana,593,593,591,590,582,579
162,30,000,14200,00000,00000,0,A,Chester town,Montana,848,847,837,854,848,835
162,30,000,14575,00000,00000,0,A,Chinook city,Montana,1184,1178,1179,1171,1159,1162
162,30,000,14650,00000,00000,0,A,Choteau city,Montana,1732,1740,1747,1772,1798,1804
162,30,000,14950,00000,00000,0,A,Circle town,Montana,591,592,585,584,575,586
162,30,000,15550,00000,00000,0,A,Clyde Park town,Montana,334,334,339,343,344,348
162,30,000,16525,00000,00000,0,A,Colstrip city,Montana,2098,2092,2034,2045,2046,2063
162,30,000,16600,00000,00000,0,A,Columbia Falls city,Montana,5322,5396,5590,5659,5717,5713
162,30,000,16825,00000,00000,0,A,Columbus town,Montana,1859,1867,1872,1909,1917,1966
162,30,000,17275,00000,00000,0,A,Conrad city,Montana,2327,2317,2372,2401,2406,2395
162,30,000,18475,00000,00000,0,A,Culbertson town,Montana,748,748,747,728,715,706
162,30,000,18775,00000,00000,0,A,Cut Bank city,Montana,3061,3054,3046,3025,3007,2988
162,30,000,19300,00000,00000,0,A,Darby town,Montana,789,795,833,856,865,873
162,30,000,19825,00000,00000,0,A,Deer Lodge city,Montana,3026,3022,3047,3040,3025,3006
162,30,000,20425,00000,00000,0,A,Denton town,Montana,205,206,208,209,211,212
162,30,000,20800,00000,00000,0,A,Dillon city,Montana,3876,3882,3989,4111,4178,4242
162,30,000,21025,00000,00000,0,A,Dodson town,Montana,126,126,126,126,127,126
162,30,000,21850,00000,00000,0,A,Drummond town,Montana,271,271,275,286,293,294
162,30,000,22600,00000,00000,0,A,Dutton town,Montana,304,305,307,310,315,314
162,30,000,23125,00000,00000,0,A,East Helena city,Montana,1945,1948,1972,1995,2130,2239
162,30,000,23650,00000,00000,0,A,Ekalaka town,Montana,403,401,408,404,403,405
162,30,000,24475,00000,00000,0,A,Ennis town,Montana,919,924,963,1005,1046,1081
162,30,000,24850,00000,00000,0,A,Eureka town,Montana,1386,1390,1448,1511,1537,1561
162,30,000,25225,00000,00000,0,A,Fairfield town,Montana,768,771,774,782,794,794
162,30,000,25300,00000,00000,0,A,Fairview town,Montana,894,897,879,866,858,854
162,30,000,26800,00000,00000,0,A,Flaxville town,Montana,60,60,61,59,59,59
162,30,000,27700,00000,00000,0,A,Forsyth city,Montana,1673,1668,1624,1630,1630,1643
162,30,000,28000,00000,00000,0,A,Fort Benton city,Montana,1457,1456,1456,1442,1425,1422
162,30,000,28450,00000,00000,0,A,Fort Peck town,Montana,240,239,239,238,235,234
162,30,000,29500,00000,00000,0,A,Froid town,Montana,195,195,195,190,186,185
162,30,000,29575,00000,00000,0,A,Fromberg town,Montana,393,394,407,419,423,423
162,30,000,30400,00000,00000,0,A,Geraldine town,Montana,211,211,210,210,207,206
162,30,000,31075,00000,00000,0,A,Glasgow city,Montana,3206,3199,3212,3218,3186,3169
162,30,000,31450,00000,00000,0,A,Glendive city,Montana,4877,4866,4832,4800,4808,4760
162,30,000,32575,00000,00000,0,A,Grass Range town,Montana,110,110,112,113,114,115
162,30,000,32800,00000,00000,0,A,Great Falls city,Montana,60478,60453,60416,60464,60243,60013
162,30,000,33775,00000,00000,0,A,Hamilton city,Montana,4692,4725,4953,5154,5279,5383
162,30,000,34225,00000,00000,0,A,Hardin city,Montana,3818,3806,3751,3738,3730,3719
162,30,000,34375,00000,00000,0,A,Harlem city,Montana,772,768,767,762,754,757
