SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,53,000,00000,00000,00000,0,A,Washington,Washington,7707586,7727209,7743760,7794123,7857320,7958180
162,53,000,00100,00000,00000,0,A,Aberdeen city,Washington,17018,17037,17197,17097,17065,17044
162,53,000,00905,00000,00000,0,A,Airway Heights city,Washington,10761,10793,10714,11015,11633,11950
162,53,000,01010,00000,00000,0,A,Albion town,Washington,551,546,534,534,543,547
162,53,000,01290,00000,00000,0,A,Algona city,Washington,3289,3286,3242,3226,3234,3269
162,53,000,01500,00000,00000,0,A,Almira town,Washington,320,321,328,331,330,328
162,53,000,01990,00000,00000,0,A,Anacortes city,Washington,17638,17683,17913,18036,18075,18148
162,53,000,02585,00000,00000,0,A,Arlington city,Washington,19911,20045,20786,21227,21416,21959
162,53,000,03075,00000,00000,0,A,Asotin city,Washington,1178,1178,1188,1189,1190,1192
162,53,000,03180,00000,00000,0,A,Auburn city,Washington,87183,87045,85844,85111,84848,85513
162,53,000,03736,00000,00000,0,A,Bainbridge Island city,Washington,24825,24837,24723,24607,24402,24618
162,53,000,04475,00000,00000,0,A,Battle Ground city,Washington,20759,20867,21285,21769,22518,22959
162,53,000,04895,00000,00000,0,A,Beaux Arts Village town,Washington,317,316,311,307,308,313
162,53,000,05210,00000,00000,0,A,Bellevue city,Washington,151868,151786,149406,151398,152354,154377
162,53,000,05280,00000,00000,0,A,Bellingham city,Washington,91476,91870,90444,93917,95026,95860
162,53,000,05560,00000,00000,0,A,Benton City city,Washington,3490,3486,3559,3734,3828,3876
162,53,000,06085,00000,00000,0,A,Bingen city,Washington,776,779,781,864,898,942
162,53,000,06330,00000,00000,0,A,Black Diamond city,Washington,4695,4846,5574,6135,6489,6787
162,53,000,06505,00000,00000,0,A,Blaine city,Washington,5885,5901,5966,6038,6188,6371
162,53,000,07170,00000,00000,0,A,Bonney Lake city,Washington,21664,22024,22104,22123,22043,22145
162,53,000,07380,00000,00000,0,A,Bothell city,Washington,48154,48174,48104,49213,50782,51770
162,53,000,07695,00000,00000,0,A,Bremerton city,Washington,43506,43626,44982,45442,44827,45291
162,53,000,07835,00000,00000,0,A,Brewster city,Washington,1985,1987,2010,2025,2048,2090
162,53,000,07870,00000,00000,0,A,Bridgeport city,Washington,2130,2128,2150,2161,2227,2261
162,53,000,07940,00000,00000,0,A,Brier city,Washington,6555,6554,6546,6511,6531,6603
162,53,000,08570,00000,00000,0,A,Buckley city,Washington,5118,5175,5263,5298,5493,5641
162,53,000,08605,00000,00000,0,A,Bucoda town,Washington,598,598,599,612,615,615
162,53,000,08850,00000,00000,0,A,Burien city,Washington,52072,51996,51140,51045,51346,52046
162,53,000,08920,00000,00000,0,A,Burlington city,Washington,9168,9243,9695,9765,10381,10945
162,53,000,09480,00000,00000,0,A,Camas city,Washington,26107,26497,26964,27125,27141,27313
162,53,000,09970,00000,00000,0,A,Carbonado town,Washington,738,741,746,738,737,737
162,53,000,10215,00000,00000,0,A,Carnation city,Washington,2155,2161,2198,2203,2201,2279
162,53,000,10495,00000,00000,0,A,Cashmere city,Washington,3249,3247,3330,3310,3280,3333
