SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,10,000,00000,00000,00000,0,A,Delaware,Delaware,989955,991928,1005062,1020625,1036423,1051917
162,10,000,01400,00000,00000,0,A,Arden village,Delaware,430,430,430,431,436,437
162,10,000,01530,00000,00000,0,A,Ardencroft village,Delaware,228,228,230,230,231,234
162,10,000,01660,00000,00000,0,A,Ardentown village,Delaware,254,254,253,255,257,258
162,10,000,04650,00000,00000,0,A,Bellefonte town,Delaware,1226,1225,1226,1230,1241,1249
162,10,000,05690,00000,00000,0,A,Bethany Beach town,Delaware,951,957,993,1026,1056,1083
162,10,000,05820,00000,00000,0,A,Bethel town,Delaware,237,239,247,254,260,267
162,10,000,06730,00000,00000,0,A,Blades town,Delaware,1171,1179,1220,1261,1295,1330
162,10,000,07250,00000,00000,0,A,Bowers town,Delaware,271,272,274,278,282,285
162,10,000,08680,00000,00000,0,A,Bridgeville town,Delaware,2558,2574,2668,2758,2835,2909
162,10,000,10760,00000,00000,0,A,Camden town,Delaware,3707,3726,4248,4195,4192,4191
162,10,000,14660,00000,00000,0,A,Cheswold town,Delaware,1923,1934,1965,2014,2263,2537
162,10,000,15440,00000,00000,0,A,Clayton town,Delaware,3959,3989,3997,4207,4394,4511
162,10,000,18950,00000,00000,0,A,Dagsboro town,Delaware,869,874,906,937,963,988
162,10,000,19730,00000,00000,0,A,Delaware City city,Delaware,1882,1883,1885,1894,1918,1933
162,10,000,20380,00000,00000,0,A,Delmar town,Delaware,2027,2040,2098,2160,2220,2278
162,10,000,20900,00000,00000,0,A,Dewey Beach town,Delaware,356,358,371,384,395,405
162,10,000,21200,00000,00000,0,A,Dover city,Delaware,39498,39407,39694,39896,40049,40191
162,10,000,24020,00000,00000,0,A,Ellendale town,Delaware,490,493,511,526,542,556
162,10,000,24540,00000,00000,0,A,Elsmere town,Delaware,6233,6223,6188,6170,6195,6234
162,10,000,25840,00000,00000,0,A,Farmington town,Delaware,90,90,93,96,98,100
162,10,000,26620,00000,00000,0,A,Felton town,Delaware,1316,1319,1328,1345,1360,1375
162,10,000,26880,00000,00000,0,A,Fenwick Island town,Delaware,342,344,357,369,379,389
162,10,000,28310,00000,00000,0,A,Frankford town,Delaware,799,805,831,859,881,905
162,10,000,28440,00000,00000,0,A,Frederica town,Delaware,1087,1090,1094,1108,1121,1131
162,10,000,29090,00000,00000,0,A,Georgetown town,Delaware,7150,7193,7446,7687,7897,8098
