SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,12,000,00000,00000,00000,0,A,Florida,Florida,21538192,21592035,21831949,22379312,22904868,23372215
162,12,000,00375,00000,00000,0,A,Alachua city,Florida,10587,10580,10629,10823,10869,10856
162,12,000,00625,00000,00000,0,A,Alford town,Florida,493,492,499,506,516,519
162,12,000,00950,00000,00000,0,A,Altamonte Springs city,Florida,46254,46172,45529,45770,45731,47261
162,12,000,01000,00000,00000,0,A,Altha town,Florida,492,491,493,496,496,495
162,12,000,01475,00000,00000,0,A,Anna Maria city,Florida,968,970,988,1009,1015,1016
162,12,000,01625,00000,00000,0,A,Apalachicola city,Florida,2333,2338,2361,2396,2422,2461
162,12,000,01700,00000,00000,0,A,Apopka city,Florida,54910,54928,55622,57503,60329,62777
162,12,000,01750,00000,00000,0,A,Arcadia city,Florida,7424,7442,7505,7724,7886,7974
162,12,000,01775,00000,00000,0,A,Archer city,Florida,1143,1144,1140,1151,1166,1176
162,12,000,02250,00000,00000,0,A,Astatula town,Florida,1890,1899,1937,2008,2062,2266
162,12,000,02400,00000,00000,0,A,Atlantic Beach city,Florida,13505,13493,13353,13342,13294,13279
162,12,000,02500,00000,00000,0,A,Atlantis city,Florida,2124,2122,2112,2126,2143,2160
162,12,000,02550,00000,00000,0,A,Auburndale city,Florida,15602,15742,17366,18629,20141,20659
162,12,000,02681,00000,00000,0,A,Aventura city,Florida,40234,40043,39321,39515,40021,40531
162,12,000,02750,00000,00000,0,A,Avon Park city,Florida,9654,9662,9840,10077,10275,10415
162,12,000,03250,00000,00000,0,A,Baldwin town,Florida,1398,1397,1376,1374,1376,1385
162,12,000,03275,00000,00000,0,A,Bal Harbour village,Florida,3092,3076,3016,3028,3063,3099
162,12,000,03675,00000,00000,0,A,Bartow city,Florida,19562,19574,19785,20011,20762,22084
162,12,000,03725,00000,00000,0,A,Bascom town,Florida,88,88,88,90,91,93
162,12,000,03975,00000,00000,0,A,Bay Harbor Islands town,Florida,5921,5890,5778,5803,5870,5937
162,12,000,04150,00000,00000,0,A,Bay Lake city,Florida,23,23,22,23,22,23
162,12,000,04975,00000,00000,0,A,Bell town,Florida,510,511,526,543,566,582
162,12,000,05075,00000,00000,0,A,Belleair town,Florida,4281,4291,4329,4424,4527,4614
162,12,000,05100,00000,00000,0,A,Belleair Beach city,Florida,1634,1633,1628,1628,1626,1615
162,12,000,05125,00000,00000,0,A,Belleair Bluffs city,Florida,2316,2312,2306,2306,2300,2284
162,12,000,05150,00000,00000,0,A,Belleair Shore town,Florida,77,77,77,77,77,76
162,12,000,05200,00000,00000,0,A,Belle Glade city,Florida,16742,16723,16759,16927,17112,17363
162,12,000,05300,00000,00000,0,A,Belle Isle city,Florida,7276,7280,7222,7401,7577,7741
162,12,000,05375,00000,00000,0,A,Belleview city,Florida,5518,5546,5692,5757,5890,6156
162,12,000,06100,00000,00000,0,A,Beverly Beach town,Florida,474,474,484,490,516,520
162,12,000,06600,00000,00000,0,A,Biscayne Park village,Florida,3121,3104,3046,3063,3094,3123
162,12,000,06925,00000,00000,0,A,Blountstown city,Florida,2266,2261,2261,2261,2277,2269
162,12,000,07300,00000,00000,0,A,Boca Raton city,Florida,97436,98250,98829,100447,101421,102238
162,12,000,07450,00000,00000,0,A,Bonifay city,Florida,2768,2765,2783,2791,2827,2838
162,12,000,07525,00000,00000,0,A,Bonita Springs city,Florida,53665,53887,54908,56702,56915,57112
162,12,000,07775,00000,00000,0,A,Bowling Green city,Florida,2390,2391,2397,2422,2441,2456
162,12,000,07875,00000,00000,0,A,Boynton Beach city,Florida,80201,80474,80092,81351,82361,83095
162,12,000,07950,00000,00000,0,A,Bradenton city,Florida,55713,55815,56354,57185,57500,58184
162,12,000,07975,00000,00000,0,A,Bradenton Beach city,Florida,908,908,916,923,925,927
162,12,000,08175,00000,00000,0,A,Branford town,Florida,714,715,733,742,758,772
162,12,000,08575,00000,00000,0,A,Briny Breezes town,Florida,503,504,504,513,523,532
162,12,000,08600,00000,00000,0,A,Bristol city,Florida,922,922,911,920,931,942
162,12,000,08700,00000,00000,0,A,Bronson town,Florida,1140,1143,1170,1199,1240,1263
162,12,000,08725,00000,00000,0,A,Brooker town,Florida,320,321,323,328,334,339
162,12,000,08800,00000,00000,0,A,Brooksville city,Florida,8868,8932,9124,9506,9793,9985
162,12,000,09550,00000,00000,0,A,Bunnell city,Florida,3289,3323,3486,3633,3886,4120
162,12,000,09625,00000,00000,0,A,Bushnell city,Florida,3134,3141,3143,3208,3217,3193
162,12,000,09700,00000,00000,0,A,Callahan town,Florida,1524,1537,1543,1669,1796,1785
162,12,000,09725,00000,00000,0,A,Callaway city,Florida,13054,12979,13132,13443,13788,14138
162,12,000,09900,00000,00000,0,A,Campbellton town,Florida,193,193,195,197,201,203
162,12,000,10250,00000,00000,0,A,Cape Canaveral city,Florida,9977,9975,9964,10012,10060,10014
162,12,000,10275,00000,00000,0,A,Cape Coral city,Florida,194001,195436,204053,218013,227022,233025
162,12,000,10725,00000,00000,0,A,Carrabelle city,Florida,2619,2617,2232,2376,2396,2570
162,12,000,10975,00000,00000,0,A,Caryville town,Florida,306,306,307,311,315,318
162,12,000,11050,00000,00000,0,A,Casselberry city,Florida,28775,28940,29122,30037,30902,31650
162,12,000,11225,00000,00000,0,A,Cedar Key city,Florida,685,686,702,719,730,736
162,12,000,11325,00000,00000,0,A,Center Hill city,Florida,867,876,914,982,1034,1055
162,12,000,11362,00000,00000,0,A,Century town,Florida,1712,1719,1722,1739,1763,1780
162,12,000,11800,00000,00000,0,A,Chattahoochee city,Florida,2960,2927,2869,2975,3116,3028
162,12,000,11925,00000,00000,0,A,Chiefland city,Florida,2330,2333,2360,2384,2427,2444
162,12,000,11975,00000,00000,0,A,Chipley city,Florida,3661,3668,3661,3701,3718,3741
162,12,000,12325,00000,00000,0,A,Cinco Bayou town,Florida,457,459,461,470,473,468
162,12,000,12875,00000,00000,0,A,Clearwater city,Florida,117435,117343,117133,117344,117555,116811
162,12,000,12925,00000,00000,0,A,Clermont city,Florida,43033,43340,44609,46593,48876,50851
162,12,000,13000,00000,00000,0,A,Clewiston city,Florida,7308,7315,7292,7256,7376,7496
162,12,000,13050,00000,00000,0,A,Cloud Lake town,Florida,136,136,135,136,140,141
162,12,000,13150,00000,00000,0,A,Cocoa city,Florida,18997,19032,19311,19585,19997,19909
162,12,000,13175,00000,00000,0,A,Cocoa Beach city,Florida,11354,11348,11324,11367,11440,11386
162,12,000,13275,00000,00000,0,A,Coconut Creek city,Florida,57829,57727,57251,57912,58873,59721
162,12,000,13400,00000,00000,0,A,Coleman city,Florida,651,658,685,736,773,789
162,12,000,14125,00000,00000,0,A,Cooper City city,Florida,34398,34334,34055,34449,35031,35541
162,12,000,14250,00000,00000,0,A,Coral Gables city,Florida,49242,49752,49661,49259,49801,50379
162,12,000,14400,00000,00000,0,A,Coral Springs city,Florida,134403,134182,133159,134697,137685,140808
162,12,000,14850,00000,00000,0,A,Cottondale town,Florida,848,849,856,863,871,879
162,12,000,15375,00000,00000,0,A,Crescent City city,Florida,1659,1661,1672,1680,1705,1724
162,12,000,15475,00000,00000,0,A,Crestview city,Florida,27426,27533,27834,28320,29453,30727
162,12,000,15575,00000,00000,0,A,Cross City town,Florida,1693,1696,1727,1756,1794,1816
162,12,000,15775,00000,00000,0,A,Crystal River city,Florida,3554,3564,3617,3644,3674,3661
162,12,000,15968,00000,00000,0,A,Cutler Bay town,Florida,45427,45218,44394,44627,45216,45833
162,12,000,16125,00000,00000,0,A,Dade City city,Florida,7155,7239,7356,7744,8743,9662
162,12,000,16335,00000,00000,0,A,Dania Beach city,Florida,31774,31730,31528,31970,32568,33076
162,12,000,16450,00000,00000,0,A,Davenport city,Florida,9344,9730,10997,13561,15160,16764
162,12,000,16475,00000,00000,0,A,Davie town,Florida,105705,106032,105898,107745,110056,112052
162,12,000,16525,00000,00000,0,A,Daytona Beach city,Florida,71599,72298,75377,78436,82735,86015
162,12,000,16550,00000,00000,0,A,Daytona Beach Shores city,Florida,5117,5120,5154,5196,5214,5223
162,12,000,16675,00000,00000,0,A,DeBary city,Florida,22185,22239,22509,22928,23223,23468
162,12,000,16725,00000,00000,0,A,Deerfield Beach city,Florida,86856,86775,86523,87623,89121,90507
162,12,000,16800,00000,00000,0,A,DeFuniak Springs city,Florida,5929,5977,6301,6564,6797,7048
162,12,000,16875,00000,00000,0,A,DeLand city,Florida,37791,38225,39533,41392,43210,45587
162,12,000,17100,00000,00000,0,A,Delray Beach city,Florida,66846,66815,66672,67587,68594,70140
