SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,35,000,00000,00000,00000,0,A,New Mexico,New Mexico,2117555,2118606,2117333,2113868,2121164,2130256
162,35,000,01780,00000,00000,0,A,Alamogordo city,New Mexico,30933,30942,31196,31230,31531,31667
162,35,000,02000,00000,00000,0,A,Albuquerque city,New Mexico,564549,564885,563441,561422,561094,560326
162,35,000,03400,00000,00000,0,A,Angel Fire village,New Mexico,1197,1194,1192,1184,1185,1183
162,35,000,03820,00000,00000,0,A,Anthony city,New Mexico,8715,8716,8697,8672,8788,8910
162,35,000,05220,00000,00000,0,A,Artesia city,New Mexico,12875,12876,12551,12434,12491,12550
162,35,000,05780,00000,00000,0,A,Aztec city,New Mexico,6216,6200,6172,6139,6143,6129
162,35,000,06270,00000,00000,0,A,Bayard city,New Mexico,2117,2118,2092,2077,2069,2070
162,35,000,06480,00000,00000,0,A,Belen city,New Mexico,7351,7362,7406,7404,7456,7556
162,35,000,06970,00000,00000,0,A,Bernalillo town,New Mexico,9002,9022,9119,9081,9115,9159
162,35,000,07880,00000,00000,0,A,Bloomfield city,New Mexico,7431,7411,7383,7354,7371,7363
162,35,000,08580,00000,00000,0,A,Bosque Farms village,New Mexico,4017,4023,4051,4051,4081,4138
162,35,000,11800,00000,00000,0,A,Capitan village,New Mexico,1397,1400,1408,1407,1393,1409
162,35,000,12150,00000,00000,0,A,Carlsbad city,New Mexico,32216,32264,31629,31302,31480,31999
162,35,000,12500,00000,00000,0,A,Carrizozo town,New Mexico,977,978,979,973,962,968
162,35,000,12850,00000,00000,0,A,Causey village,New Mexico,69,69,68,67,68,69
162,35,000,13970,00000,00000,0,A,Chama village,New Mexico,922,921,919,914,913,913
162,35,000,15440,00000,00000,0,A,Cimarron village,New Mexico,791,790,791,790,792,794
162,35,000,15720,00000,00000,0,A,Clayton town,New Mexico,2655,2649,2664,2602,2587,2559
162,35,000,16280,00000,00000,0,A,Cloudcroft village,New Mexico,747,747,754,754,757,756
162,35,000,16420,00000,00000,0,A,Clovis city,New Mexico,38553,38512,38191,37763,37687,37555
162,35,000,17050,00000,00000,0,A,Columbus village,New Mexico,1436,1439,1444,1461,1466,1495
162,35,000,17680,00000,00000,0,A,Corona village,New Mexico,127,127,128,127,125,127
162,35,000,17960,00000,00000,0,A,Corrales village,New Mexico,8487,8506,8595,8546,8613,8530
162,35,000,19150,00000,00000,0,A,Cuba village,New Mexico,630,630,636,630,639,640
162,35,000,20270,00000,00000,0,A,Deming city,New Mexico,15175,15192,15189,15290,15160,15272
162,35,000,20480,00000,00000,0,A,Des Moines village,New Mexico,117,116,117,113,113,111
162,35,000,20620,00000,00000,0,A,Dexter town,New Mexico,1066,1068,1062,1052,1051,1055
162,35,000,21180,00000,00000,0,A,Dora village,New Mexico,118,118,116,115,116,114
162,35,000,22020,00000,00000,0,A,Eagle Nest village,New Mexico,321,320,320,318,318,318
162,35,000,22380,00000,00000,0,A,Edgewood town,New Mexico,6181,6180,6162,6124,6152,6170
