SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
040,15,000,00000,00000,00000,0,A,Hawaii,Hawaii,1455252,1451252,1447029,1440359,1441387,1446146
162,15,000,71550,00000,00000,0,S,Urban Honolulu CDP,Hawaii,350956,348442,346580,343974,343531,344967
050,15,001,00000,00000,00000,1,A,Hawaii County,Hawaii,200629,200754,203933,206324,208043,209790
050,15,003,00000,00000,00000,0,A,Honolulu County,Hawaii,1016494,1012407,1004349,995652,994576,998747
157,15,003,71550,00000,00000,1,S,Urban Honolulu CDP,Hawaii,350956,348442,346580,343974,343531,344967
157,15,003,99990,00000,00000,1,S,Balance of Honolulu County,Hawaii,665538,663965,657769,651678,651045,653780
050,15,005,00000,00000,00000,1,G,Kalawao County,Hawaii,80,80,81,81,81,81
050,15,007,00000,00000,00000,1,A,Kauai County,Hawaii,73292,73209,73851,73823,73933,73840
050,15,009,00000,00000,00000,1,A,Maui County,Hawaii,164757,164802,164815,164479,164754,163688
